id,screening_status,title,date,doi,topic,reason,screening_basis,abstract_source,zotero_keys,collections,pdf_attachment_keys,existing_wiki_page
S001,B2 专题储备,"2ZrO2 ·Y2 O3 Thermal Barrier Coatings Resistant to Degradation by Molten CMAS : Part I, Optical Basicity Considerations and Processing",12/2014,10.1111/jace.13210,熔体/沉积,与熔体物性、润湿或沉积相关；先用A/B1核心对照，再按具体缺口选择本篇。,标题+完整摘要,Zotero abstractNote,WPTGSGFH,scopus_1;scopus_2,,
S002,B2 专题储备,"2ZrO2·Y2O3 thermal barrier coatings resistant to degradation by molten CMAS: part II, interactions with sand and fly ash",2014,10.1111/jace.13209,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+完整摘要,Zotero abstractNote,KLZDK3BH,scopus_1;scopus_2,,
S003,C 本轮暂不纳入,A raman spectroscopic study of lightning-induced glass produced from five mineral phases,2024,10.1029/2023EA003114,当前范围外,题名/摘要主要为火山/矿物形成与鉴定，未直接连接本轮涂层沉积腐蚀问题。,标题+摘要节选（初筛）,Zotero abstractNote,ARMQ9DV5,scopus_2,,
S004,B2 专题储备,Advances in the research of surface modification on the resistance of thermal barrier coatings to CMAS corrosion,2024,10.16490/j.cnki.issn.1001-3660.2024.16.003,背景/综述,背景或策略概述与核心综述部分重叠，保留作补充，避免先大量入库同功能综述。,标题+完整摘要,Zotero abstractNote,X4LLTF56,scopus_2,,
S005,C 本轮暂不纳入,Agglomeration in bio-fuel fired fluidized bed combustors,2003,10.1016/j.cej.2003.08.008,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,9D5N3QT4,scopus_2,,
S006,B2 专题储备,Al2O3-modified 7YSZ thermal barrier coatings for protection against volcanic ash corrosion,2022,10.1038/s41529-022-00308-3,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+完整摘要,Zotero abstractNote,2HB85468,scopus_1;scopus_3,,
S007,C 本轮暂不纳入,Alkali silicate reaction of cement mortar with cattle manure ash,04/2019,10.1016/j.conbuildmat.2019.01.078,当前范围外,题名/摘要对象是水泥、砂浆或骨料利用，不直接补充CMAS涂层背景。,标题+摘要节选（初筛）,Zotero abstractNote,Z8YITEJK,scopus_2,,
S008,C 本轮暂不纳入,Alkali transformation during single pellet combustion of soft wood and wheat straw,2016,10.1016/j.fuproc.2015.11.016,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,UACKJF6U,scopus_2,,
S009,B2 专题储备,An aluminum surface modification strategy for enhancing CMAS corrosion resistance of environmental barrier coatings,2026,10.26599/JAC.2025.9221222,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+完整摘要,Zotero abstractNote,68SMK7Y5,scopus_2,,
S010,B1 第二批候选,An experimental simulation of volcanic ash deposition in gas turbines and implications for jet engine safety,2017,10.1016/j.chemgeo.2016.11.024,沉积背景,多种火山灰在合金叶片靶上沉积，补充组成/晶体比例/粒径影响；与涂层腐蚀分开。,标题+完整摘要,Zotero abstractNote,94FX7Y3P,scopus_1;scopus_2,,
S011,C 本轮暂不纳入,An investigation on the fusibility characteristics of low-rank coals and biomass mixtures,2015,10.1016/j.fuel.2015.06.010,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,CP2TW9DU,scopus_2,,
S012,C 本轮暂不纳入,Application of mössbauer spectroscopy and FT-IR to describe coordination of amphoteric ions in structure of glasses from the SiO2–Na2O–MgO–CaO–Al2O3–Fe2O3 system,2023,10.1016/j.molstruc.2023.135368,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,5E3JTM5K,scopus_2,,
S013,C 本轮暂不纳入,Ash and deposit characteristics from oil-palm empty-fruit-bunch (EFB) firing with kaolin additive in a pilot-scale grate-fired combustor,2013,10.1016/j.fuproc.2013.05.018,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,3GECLM32,scopus_2,,
S014,C 本轮暂不纳入,Ash formation and deposition in coal and biomass fired combustion systems: progress and challenges in the field of ash particle sticking and rebound behavior,2018,10.1016/j.pecs.2018.02.001,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,L96JT5BT,scopus_2,,
S015,C 本轮暂不纳入,Ash melting behavior and mineral transition mechanism under gasification condition,2010,,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,JNXQ7GZD,scopus_2,,
S016,C 本轮暂不纳入,Ash-forming elements in four scandinavian wood species part 3: combustion of five spruce samples,2011,10.1016/j.biombioe.2010.10.010,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,XNMAMPEM,scopus_2,,
S017,C 本轮暂不纳入,"Ash-related issues during biomass combustion: alkali-induced slagging, silicate melt-induced slagging (ash fusion), agglomeration, corrosion, ash utilization, and related countermeasures",2016,10.1016/j.pecs.2015.09.003,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,IBKYRNTE,scopus_2,,
S018,B2 专题储备,Basicity of volcanic ash determining the degradation of thermal barrier coatings at elevated temperatures,2025,10.1016/j.jmst.2024.12.083,熔体/沉积,与熔体物性、润湿或沉积相关；先用A/B1核心对照，再按具体缺口选择本篇。,标题+完整摘要,Zotero abstractNote,4QV2CWEN,scopus_1,,
S019,C 本轮暂不纳入,Bed Agglomeration Characteristics in Fluidized-Bed Combustion of Biomass Fuels Using Olivine as Bed Material,2012,10.1021/ef300569n,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,WGLI3BBA,scopus_2,,
S020,B2 专题储备,Blade surface blade surface blade surface blade surface-particle interaction and multifunctional coatings for gas turbine engines,2015,,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。 题名含重复Blade surface，保留原题名，书目需核对。,标题+摘要节选（初筛）,Zotero abstractNote,R5BQNGXG,scopus_1,,
S021,A 优先全文核查,Calcium-magnesium-alumino-silicate (CMAS) degradation of EB-PVD thermal barrier coatings: characterization of CMAS damage on ex-service high pressure blade TBCs,2012,10.1016/j.surfcoat.2012.07.074,服役损伤,摘要明确分析退役高压叶片EB-PVD涂层，补充实验室块体以外的实际损伤；服役热历史和因果对照仍需核查。,标题+完整摘要,Zotero abstractNote,KMKUZS4S,scopus_1;scopus_2,,
S022,A 优先全文核查,"Calcium–magnesium–aluminum-silicate melt viscosities influenced by lanthanides, yttrium, and zirconium",2024,10.1111/jace.19646,RE与熔体物性,摘要报告镧系/Y/Zr添加及浓度相关黏度变化，直接关联现有RE效应解释；不能据此推出普适抗蚀半径律。,标题+完整摘要,Zotero abstractNote,XT4FIUCE,scopus_2,,
S023,B2 专题储备,Ceramic coatings in turbine applications,2023,10.1016/B978-0-323-99624-2.00001-2,背景/综述,背景或策略概述与核心综述部分重叠，保留作补充，避免先大量入库同功能综述。,标题+摘要节选（初筛）,Zotero abstractNote,5Y5SX6RG,scopus_1,,
S024,C 本轮暂不纳入,Characterisation of the glass fraction of a selection of European coal fly ashes,2004,10.1002/jctb.1023,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,W9D4N7I4,scopus_2,,
S025,B2 专题储备,Characterization and hot corrosion behavior of the La2(Zr0.7Ce0.3)2O7/8YSZ:Eu double ceramic layer coating prepared by atmospheric plasma spraying,2020,10.1016/j.surfin.2020.100777,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,KMWVLG98,scopus_1,,
S026,B1 第二批候选,Characterization of thermochemical and thermomechanical properties of eyjafjallajokull volcanic ash glass,2020,10.3390/coatings10020100,天然灰物性,摘要含天然灰结晶、热膨胀、模量和实测黏度，作为模型CMAS的参照。,标题+完整摘要,Zotero abstractNote,MZE6ZGMW,scopus_2,,
S027,C 本轮暂不纳入,Chemical composition and evolution mechanism of ferrospheres in fly ash from coal combustion,2006,,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,DSMM8R3Q,scopus_2,,
S028,C 本轮暂不纳入,Chlorination behavior of zinc and lead from molten fly ashes: effects of metal forms and coexisting elements,2005,10.1252/kakoronbunshu.31.278,当前范围外,题名/摘要关注废物处理或金属回收，缺少本轮需要的涂层/陶瓷侵蚀对象。,标题+摘要节选（初筛）,Zotero abstractNote,PS5G9AJD,scopus_2,,
S029,B2 专题储备,CMAS degradation of EB-PVD TBCs: the effect of basicity,2015,10.1016/j.surfcoat.2015.03.009,熔体/沉积,与熔体物性、润湿或沉积相关；先用A/B1核心对照，再按具体缺口选择本篇。 与S165摘要高度相似，DOI不同；保留两个条目，可能存在研究重叠，全文核查前不重复计为独立验证。,标题+完整摘要,Zotero abstractNote,4LIHSMBV,scopus_1;scopus_2,,
S030,B2 专题储备,CMAS infiltration and mitigation strategies for minimizing premature degradation failure of high temperature ceramic coatings in turbine engines,2023,10.2514/6.2023-0179,微结构/损伤,与微结构或损伤有关；作为核心涂层验证文献的补充，具体试验与模型边界待全文核查。 会议摘要明确整合前期工作与初步CFD，不能全部计作新独立实验。,标题+摘要节选（初筛）,Zotero abstractNote,ETQVGXTG,scopus_1,,
S031,A 优先全文核查,CMAS infiltration behavior of atmospheric plasma-sprayed thermal barrier coating with tailored pore structures,03/2024,10.1016/j.ceramint.2023.09.172,孔结构与侵入,摘要含APS孔结构调控、侵入及热物性/热震评价，补充结构因素；核对热震试验是否实际与CMAS耦合。,标题+完整摘要,Zotero abstractNote,NE9UVQA9,ceramics_corrosion_QUNDVKXV,J6S95WEB,
S032,B2 专题储备,CMAS-resistant plasma sprayed thermal barrier coatings based on Y 2O3-stabilized ZrO2 with Al3+ and Ti4+ solute additions,2014,10.1007/s11666-014-0077-2,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,H8C2MPCY,scopus_2,,
S033,C 本轮暂不纳入,Coating and melt induced agglomeration in a poultry litter fired fluidized bed combustor,2014,10.1016/j.biombioe.2014.07.013,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,MJKFK5JY,scopus_2,,
S034,C 本轮暂不纳入,Comparative insights into flue gas-to-ash characteristics on co-combustion of walnut shell and bio-oil distillation sludge under atmospheric and oxy-fuel condition,2022,10.1016/j.combustflame.2022.112383,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,MSQXMECM,scopus_2,,
S035,B2 专题储备,Comparative study on the CMAS and volcanic ash corrosion resistance of (Sm0.7Yb0.3)2Zr2O7 ceramics,2026,10.1016/j.ceramint.2025.12.379,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,N8PIIR98,scopus_1,,
S036,B2 专题储备,Corrosion behavior of (Yb0.9Y0.1)2SiO5environmental barrier coating material against CMAS and volcanic ash: experimental and first-principles calculation,2025,10.1016/j.ceramint.2025.08.055,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,RZQN43UZ,scopus_2,,
S037,B2 专题储备,Corrosion of thermal barrier coatings,2011,,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,EMFKSLIY,scopus_1;scopus_2,,
S038,B2 专题储备,Corrosion of YSZ by different types of CMAS,2026,10.1016/j.ceramint.2025.11.441,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+完整摘要,Zotero abstractNote,VCAZHYKD,scopus_1,,
S039,B2 专题储备,Corrosion resistance of multicomponent disilicate (Ho0.2Er0.2Tm0.2Yb0.2Lu0.2)2Si2O7 against CMAS and volcanic ash,2024,10.1016/j.corsci.2024.112484,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,293TZ36N,scopus_2,,
S040,B2 专题储备,Crystallization of coal ash slags at high temperatures and effects on the viscosity,2012,10.1021/ef201894p,熔体/沉积,与熔体物性、润湿或沉积相关；先用A/B1核心对照，再按具体缺口选择本篇。 煤灰结晶-黏度可作方法参考，暂不外推为TBC/EBC证据。,标题+摘要节选（初筛）,Zotero abstractNote,W8RCP364,scopus_2,,
S041,B2 专题储备,Damage progression of thermal barrier coatings by CMAS,2015,10.2472/jsms.64.134,微结构/损伤,与微结构或损伤有关；作为核心涂层验证文献的补充，具体试验与模型边界待全文核查。,标题+摘要节选（初筛）,Zotero abstractNote,IPL7U8WM,scopus_1;scopus_2,,
S042,B1 第二批候选,Damage quantification and failure mechanism of EB-PVD thermal barrier coatings under CMAS corrosion,2025,10.1016/j.surfcoat.2024.131554,损伤定量,室温压缩+DIC与屈曲模型评估界面损伤，适合补评价指标；不等于原位服役裂纹追踪。,标题+完整摘要,Zotero abstractNote,UTE2QIHK,scopus_1;scopus_3,,
S043,B2 专题储备,Degradation mechanisms of air plasma sprayed free-standing yttria-stabilized zirconia thermal barrier coatings exposed to volcanic ash,2019,10.1016/j.apsusc.2019.03.084,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,X6AND7WH,scopus_1,,
S044,B2 专题储备,Degradation of La2Zr2O7 and other novel EB-PVD thermal barrier coatings by CMAS (CaO-MgO-Al2O3-SiO2) and volcanic ash deposits,2013,10.1016/j.surfcoat.2013.07.029,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,GXRN8299,scopus_1,,
S045,B1 第二批候选,Densification and embrittlement mechanisms of EB-PVD columnar YSZ coatings under volcanic ash corrosion via in-situ micropillar compression,2026,10.1016/j.corsci.2026.114102,局部力学,腐蚀后原位SEM微柱压缩、TEM与模型；适合检查强度提高和应变容限下降是否可并存。,标题+完整摘要,Zotero abstractNote,UWZNHAYD,scopus_1,,
S046,B2 专题储备,Droplet size effects on the interfacial behavior between CMAS and GYbZ thermal barrier coating material surface,2026,10.1016/j.apsusc.2026.166000,熔体/沉积,与熔体物性、润湿或沉积相关；先用A/B1核心对照，再按具体缺口选择本篇。,标题+完整摘要,Zotero abstractNote,IPBYVK4C,scopus_1;scopus_2,,
S047,B2 专题储备,Dual-phase barrier formation and inhibition of environmental deposit-induced grain boundary corrosion in rare earth zirconia-based TBCs,2025,10.1016/j.surfcoat.2025.132614,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,DZXEDTUS,scopus_1;scopus_3,,
S048,B2 专题储备,Dynamic redissolution-reprecipitation of a “coral-like” reaction layer enables self-healing corrosion resistance in Yb-Gd-Y co-stabilized zirconia against molten volcanic ash,2026,10.1016/j.corsci.2026.114098,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,PP459KXK,scopus_1,,
S049,B2 专题储备,EB-PVD alumina (Al2O3) as a top coat on 7YSZ TBCs against CMAS/VA infiltration: deposition and reaction mechanisms,2018,10.1016/j.jeurceramsoc.2018.03.027,熔体/沉积,与熔体物性、润湿或沉积相关；先用A/B1核心对照，再按具体缺口选择本篇。,标题+摘要节选（初筛）,Zotero abstractNote,8UJ2YKVC,scopus_2,,
S050,C 本轮暂不纳入,Effect of alkaline activator ratio on the compressive strength response of POFA-EACC mortar subjected to elevated temperature,2021,10.1080/09603409.2021.1897942,当前范围外,题名/摘要对象是水泥、砂浆或骨料利用，不直接补充CMAS涂层背景。,标题+摘要节选（初筛）,Zotero abstractNote,V9L5HK9P,scopus_2,,
S051,C 本轮暂不纳入,Effect of chlorides on the melting behavior of municipal solid waste incineration fly ash,2025,10.1016/j.jece.2025.116009,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,683ZHMCJ,scopus_2,,
S052,A 优先全文核查,Effect of CMAS viscosity on the infiltration depth in thermal barrier coatings of different microstructures,02/2022,10.1016/j.surfcoat.2021.128039,黏度与微结构,PDF摘要比较三种CMAS与SPPS涂层微结构；黏度为FactSage预测，须与实测黏度区分，摘要的solely因果表述须回查。,标题+本地PDF第1页完整摘要（非全文复核）,"local PDF page 1, attachment WIYBSDHY",4VTYJ45V,ceramics_corrosion_QUNDVKXV,WIYBSDHY,
S053,C 本轮暂不纳入,Effect of coal-water slurry reburning on ash deposition in boiler,2008,,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,B3U992P3,scopus_2,,
S054,B2 专题储备,Effect of configuration entropy on resistance of rare-earth zirconate ceramics to CaO-MgO-Al2O3-SiO2,2025,10.14062/j.issn.0454-5648.20240647,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,8EKFEKR3,scopus_1;scopus_2,,
S055,B2 专题储备,Effect of semi-molten particulate on tailored thermal barrier coatings for gas turbine engine,2016,10.2514/6.2016-4852,材料/防护策略,材料成分或表面防护案例相关，但当前优先补评价与背景证据，留作后续专题候选。,标题+摘要节选（初筛）,Zotero abstractNote,S9NJYQGR,scopus_1,,
S056,C 本轮暂不纳入,Effect of silica and alumina on petroleum coke ash fusibility,2017,10.1021/acs.energyfuels.7b02843,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,ACDW9LZK,scopus_2,,
S057,C 本轮暂不纳入,Effect of temperature on activity of water quenched slag prepared by reducing iron oxide of steel slag with coal gangue,2024,10.14062/j.issn.0454-5648.20230603,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,BR3SKTTZ,scopus_2,,
S058,C 本轮暂不纳入,Effect of thermal expansion additives on alleviating the ash deposition of high-sodium coal,2020,10.1016/j.jenvman.2020.110799,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,DRXG4UJS,scopus_2,,
S059,C 本轮暂不纳入,Effects of atmosphere on mineral transformation of zhundong coal during gasification in CO2/H2O conditions,2022,10.1016/j.fuel.2021.122428,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,RC8IQR34,scopus_2,,
S060,C 本轮暂不纳入,"Effects of calcium, sodium and potassium on ash fusion temperatures of solid recovered fuels (SRF)",2022,10.1016/j.wasman.2022.06.032,当前范围外,题名/摘要对象主要为燃料灰、锅炉/气化炉、冶金或固废利用，暂不用于本轮CMAS涂层背景；不评价论文质量。,标题+摘要节选（初筛）,Zotero abstractNote,8Z4WETIU,scopus_2,,
