sid,title,doi,is_oa,download_url,fallback_url,note,collections
S001,"2ZrO2 ·Y2 O3 Thermal Barrier Coatings Resistant to Degradation by Molten CMAS : Part I, Optical Basicity Considerations and Processing",10.1111/jace.13210,,,https://doi.org/10.1111/jace.13210,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S002,"2ZrO2·Y2O3 thermal barrier coatings resistant to degradation by molten CMAS: part II, interactions with sand and fly ash",10.1111/jace.13209,,,https://doi.org/10.1111/jace.13209,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S004,Advances in the research of surface modification on the resistance of thermal barrier coatings to CMAS corrosion,10.16490/j.cnki.issn.1001-3660.2024.16.003,,,https://doi.org/10.16490/j.cnki.issn.1001-3660.2024.16.003,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S006,Al2O3-modified 7YSZ thermal barrier coatings for protection against volcanic ash corrosion,10.1038/s41529-022-00308-3,,,https://doi.org/10.1038/s41529-022-00308-3,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S009,An aluminum surface modification strategy for enhancing CMAS corrosion resistance of environmental barrier coatings,10.26599/JAC.2025.9221222,,,https://doi.org/10.26599/JAC.2025.9221222,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
S010,An experimental simulation of volcanic ash deposition in gas turbines and implications for jet engine safety,10.1016/j.chemgeo.2016.11.024,,,https://doi.org/10.1016/j.chemgeo.2016.11.024,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S018,Basicity of volcanic ash determining the degradation of thermal barrier coatings at elevated temperatures,10.1016/j.jmst.2024.12.083,,,https://doi.org/10.1016/j.jmst.2024.12.083,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1
S020,Blade surface blade surface blade surface blade surface-particle interaction and multifunctional coatings for gas turbine engines,10.2514/6.2015-4193,,,https://doi.org/10.2514/6.2015-4193,Crossref 反查匹配（AIAA 2015），Zotero 原记录无 DOI，待核对 | unpaywall 无记录,scopus_1
S021,Calcium-magnesium-alumino-silicate (CMAS) degradation of EB-PVD thermal barrier coatings: characterization of CMAS damage on ex-service high pressure blade TBCs,10.1016/j.surfcoat.2012.07.074,,,https://doi.org/10.1016/j.surfcoat.2012.07.074,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_1;scopus_2
S022,"Calcium–magnesium–aluminum-silicate melt viscosities influenced by lanthanides, yttrium, and zirconium",10.1111/jace.19646,,,https://doi.org/10.1111/jace.19646,unpaywall error: HTTP Error 422: Unprocessable Entity,scopus_2
